RA,DEC,LAMBDA,Z
238.49139154815396,24.033658875415753,143.35520935058594,
241.86018223023828,24.991622697537586,59.75794982910156,0.27071142196655273
241.0948491331196,27.478104092190303,52.618621826171875,0.28298220038414
241.1983619001039,24.493835516411455,63.46490478515625,0.41798925399780273
241.53051818097077,21.8552224121717,56.90526580810547,0.36470499634742737
243.26887127729765,23.23176853304924,62.48858642578125,0.3730550706386566
239.58426218681922,25.339644746884964,58.949432373046875,0.4402415156364441
243.06384438348283,26.226263651963496,60.10881042480469,0.4837646782398224
243.3551488614911,25.58071108879469,52.19148254394531,0.48348718881607056
241.60618520078685,23.893153608392307,70.5584716796875,0.5419492721557617
241.19021070094078,24.873882781665543,62.44282531738281,
238.90868961303136,27.670794202867963,53.381370544433594,0.5116851925849915
238.7196184853174,26.307489159508286,60.53594970703125,0.5248286724090576
241.4021399920416,24.05386949957197,59.78845977783203,0.5459728837013245
240.30172118133032,29.305757162061365,63.144554138183594,
241.79406935282307,25.05290414514896,54.87635803222656,
240.78146734236952,24.96095474557968,51.53551483154297,0.5342172384262085
239.00777529517546,23.54370288678352,54.44921875,0.5409290194511414
241.82504046556397,22.682626399293675,51.21516418457031,0.4842326045036316
253.06079442222804,44.823307410069006,84.54727935791016,0.1755083054304123
249.90828250305094,47.05288370397957,61.78685760498047,
245.97465076974163,47.95955323574091,56.005226135253906,0.19667421281337738
246.7368187899488,46.77531130788764,55.47129821777344,
246.77597411507207,46.98551024225658,53.122032165527344,0.27367162704467773
248.55647781565088,49.84544670313966,53.579681396484375,
253.48972291180831,46.69439350587756,64.33444213867188,
244.78943398992863,48.90657024110073,53.76274108886719,
252.39047212077332,44.78613402837002,77.80458068847656,0.6326004266738892
251.02800212853265,45.99814854065247,74.60103607177734,
248.38114295219148,44.43027737642606,74.20440673828125,0.5015873908996582
246.59265310530066,48.59929350287851,65.14295196533203,
197.75747502499453,-3.1777090289005923,63.129295349121094,0.49133431911468506
197.5609031799545,-2.181706498515477,66.75997924804688,
198.58864252300506,0.7831537165746382,58.52229309082031,0.5597901344299316
198.69528381409108,-1.6634863886983093,64.1208724975586,
136.6871742577847,10.317327363252254,72.495849609375,0.1374417543411255
136.31734599433776,10.330723701039753,59.77320098876953,0.1765669584274292
137.16339725236028,6.9977824907263315,60.00202941894531,0.22263383865356445
138.04673557562737,13.644154442094408,55.37976837158203,0.178045853972435
137.97693822518124,10.963583068229275,54.22039031982422,0.1641707867383957
140.06322230172336,8.460475089996818,139.48043823242188,0.4983331561088562
131.92616119033613,13.491790033192421,63.876792907714844,0.3468218445777893
137.23733115756744,13.334624717968103,80.97761535644531,0.4067578911781311
134.88598106906582,8.143806002403876,113.21138000488281,
134.22697005373206,7.9516427730592705,68.77363586425781,0.35481026768684387
134.28422210603856,9.982815542522138,72.38906860351562,0.4369419515132904
132.18052324559739,10.279676483674573,63.373374938964844,0.4204244017601013
137.7780514391227,7.308907066060574,96.09529876708984,0.5081744194030762
134.78494291255296,13.67559632237642,62.610626220703125,
140.33188265572045,10.549155168723292,79.02497863769531,0.5000068545341492
132.82089687829637,14.248634248232532,54.571258544921875,0.4846639037132263
137.86354787516171,7.529671528825133,66.97354888916016,0.5077592134475708
137.05991643058772,13.294959041797718,50.84904479980469,
138.16062855147098,7.278650182379722,51.06261444091797,
133.90601659558186,11.461357532846428,56.264556884765625,
137.80592324581644,6.9532304314420665,61.649566650390625,
137.3867720040577,12.122568033922,57.957862854003906,
201.4452965234829,41.64906984268356,55.318748474121094,
205.2257986620191,42.317556021617946,61.52752685546875,0.35912302136421204
8.609891974237257,22.05127231190804,53.320350646972656,
7.816029817406218,19.129285719769868,94.32572174072266,
8.590255581004783,15.785489823937537,54.66278839111328,
8.206656758025304,18.68613866294349,67.6295166015625,
7.872841832238237,17.83978156600044,61.359718322753906,
8.320204520965035,19.008250216871506,97.4834976196289,
338.24410601379503,-9.059714109915054,73.82303619384766,0.2526705861091614
341.3808696769232,-9.898745138354878,129.53419494628906,0.4401983320713043
342.07342500536475,-8.892581948361258,53.4576416015625,
342.78722763717496,-9.173830612241794,79.65043640136719,
338.4035635948661,-8.795576394596907,51.79485321044922,0.2524040639400482
339.5420945314818,-9.745740890242724,75.54684448242188,
341.0505122857199,-9.565798841129185,69.12450408935547,
342.4848452331997,-9.381350918763303,56.58491516113281,0.41262727975845337
338.43349126839695,-9.995775218689792,61.23767852783203,
342.28958101319705,-10.11074226382162,56.15777587890625,0.4347933232784271
342.93950148187577,-9.619190001160979,58.3544921875,
342.7779317988979,-9.701340775708935,64.31918334960938,
341.351034301189,-9.583723061018548,55.257728576660156,
341.79207005291374,-9.535048087896582,72.9077377319336,
152.14878614834615,17.245503750170737,61.25293731689453,
151.02891642163655,20.819556577936183,93.27312469482422,0.31243062019348145
153.44342443675149,19.763834172694537,56.12726593017578,0.1124110147356987
150.79704825079895,20.54173344929294,54.66278839111328,0.30811867117881775
155.0556050825716,22.31201828818642,90.1611099243164,0.48123764991760254
154.30389521131727,19.942048778295614,62.97674560546875,0.41688552498817444
153.5533418246174,17.68533829286484,65.03617095947266,0.39979615807533264
155.26445772447485,21.710283296649422,63.327613830566406,0.49126049876213074
153.80452185657106,20.242712379484352,54.067840576171875,0.46206045150756836
