RA,DEC,R500,M500,Z
26.1212,2.2103,0.5286,49440000000000.0,0.166
30.4496,3.7486,0.7187,124180000000000.0,0.165
187.7733,0.6289,0.4084,19810000000000.0,0.0232
189.1308,0.8619,0.4824,39160000000000.0,0.205
190.7063,2.6856,0.3506,12310000000000.0,0.0031
183.3929,2.8992,0.7136,159310000000000.0,0.409
184.4192,3.6625,1.0548,359150000000000.0,0.0766
140.0021,1.04,0.3594,13440000000000.0,0.0175
170.7067,1.1075,0.6583,86900000000000.0,0.072
328.9967,1.1506,0.5526,59770000000000.0,0.219
124.5571,1.3675,0.8336,179240000000000.0,0.0879
37.9879,1.2444,0.4325,23510000000000.0,0.0221
233.7575,1.3469,0.7027,137350000000000.0,0.32
234.1471,1.5556,0.9221,306540000000000.0,0.309
164.5433,1.5864,0.5296,43880000000000.0,0.0398
164.5529,1.6158,0.506,38230000000000.0,0.0385
217.2467,1.7544,0.8068,207900000000000.0,0.32
214.9692,6.5722,0.6604,151630000000000.0,0.5641
214.8479,6.645,0.7329,209620000000000.0,0.574
181.105,1.9006,0.6158,67720000000000.0,0.0199
179.3696,5.0628,0.7567,132630000000000.0,0.077
182.5783,5.385,0.8088,161600000000000.0,0.0748
45.405,1.9197,1.0621,403330000000000.0,0.1712
45.8379,1.9264,1.0301,361050000000000.0,0.153
51.9771,2.5631,0.4311,23460000000000.0,0.0302
310.425,7.3572,0.5429,48380000000000.0,0.0639
64.9075,2.4139,0.6248,70310000000000.0,0.0131
168.3363,2.5322,0.8736,204320000000000.0,0.078
315.9613,4.6258,0.7331,132410000000000.0,0.1694
211.1163,4.3842,0.6837,114550000000000.0,0.23
174.68,3.2592,0.5228,45960000000000.0,0.127
126.045,3.4625,0.6398,106930000000000.0,0.347
341.8729,3.6189,0.6542,97180000000000.0,0.2
326.3104,3.7419,0.7488,151960000000000.0,0.239
326.52,4.3886,0.7357,201470000000000.0,0.531
157.0883,3.7689,0.6668,90410000000000.0,0.073
125.7979,4.3561,0.63,73150000000000.0,0.0293
194.1104,4.67,0.8755,240530000000000.0,0.23
252.7917,4.9961,1.0434,375630000000000.0,0.154
159.8663,5.1794,0.8061,159240000000000.0,0.07
69.76,5.3439,1.0961,460970000000000.0,0.208
130.13,5.7333,0.9742,344340000000000.0,0.2651
44.4121,6.0061,0.6505,80120000000000.0,0.0238
43.9637,9.3133,0.4812,32490000000000.0,0.0258
41.4404,9.61,0.723,124060000000000.0,0.147
75.78,6.1272,0.8472,188170000000000.0,0.088
81.1146,8.3289,0.8739,202560000000000.0,0.068
74.7758,8.7803,0.8303,179850000000000.0,0.1034
229.69,6.2311,0.9979,311800000000000.0,0.1021
229.1833,7.0186,0.9465,249450000000000.0,0.0353
227.8479,6.3189,0.9183,238110000000000.0,0.0817
4.1896,6.7736,0.6787,96290000000000.0,0.0833
350.9125,9.1481,0.9424,290200000000000.0,0.1992
47.8992,7.2381,0.8284,185710000000000.0,0.142
72.0542,9.89,0.9603,292870000000000.0,0.154
69.1796,10.0606,0.9617,295670000000000.0,0.159
72.0017,10.6183,0.7315,121830000000000.0,0.094
143.8704,7.4925,0.9511,318970000000000.0,0.261
146.99,7.5072,0.4552,30380000000000.0,0.128
146.9408,7.6883,0.739,228450000000000.0,0.625
7.2554,7.7033,0.7892,165300000000000.0,0.17
169.3587,7.7264,0.6225,114520000000000.0,0.477
169.3754,7.7772,0.4969,40620000000000.0,0.155
125.2575,7.8661,0.8614,202110000000000.0,0.11
0.0296,8.2744,0.6296,73730000000000.0,0.0396
3.5825,8.9,0.9342,272180000000000.0,0.163
231.1679,9.9597,0.8493,304500000000000.0,0.516
231.0175,10.0539,0.6031,77750000000000.0,0.22
231.2175,10.0883,0.5543,62460000000000.0,0.251
234.4358,12.0058,0.5891,66220000000000.0,0.134
21.2004,9.5414,0.2107,2680000000000.0,0.0079
345.7004,8.7306,0.6558,179260000000000.0,0.722
186.8092,8.9708,0.5517,51920000000000.0,0.0873
175.5258,10.1478,0.6331,80990000000000.0,0.119
175.5692,10.4506,0.5855,63920000000000.0,0.117
175.6642,10.4733,0.4964,41920000000000.0,0.188
175.3063,10.7414,0.7584,137790000000000.0,0.109
136.6142,10.345,0.8909,228850000000000.0,0.1328
132.9908,11.9953,0.4969,38990000000000.0,0.115
134.6042,13.9544,0.6299,120200000000000.0,0.488
355.1333,10.4911,0.8795,231150000000000.0,0.18
165.2038,10.5597,0.5928,61290000000000.0,0.0353
185.7771,10.6239,0.5767,55940000000000.0,0.0258
348.1779,10.725,0.6928,130170000000000.0,0.31
347.7875,11.6317,0.9414,309330000000000.0,0.261
349.8921,12.4367,0.6193,76320000000000.0,0.126
348.4992,14.7439,0.9301,268510000000000.0,0.1627
177.4692,10.7764,0.8009,199510000000000.0,0.303
180.0104,11.4042,0.8293,199440000000000.0,0.207
180.27,12.1586,0.8473,236500000000000.0,0.304
342.5229,11.6169,0.4789,32030000000000.0,0.0255
195.4308,10.9931,0.7098,128300000000000.0,0.231
202.8758,11.1344,0.4059,20640000000000.0,0.085
202.3658,11.7231,0.3884,17040000000000.0,0.0228
202.3837,11.7892,0.5078,38050000000000.0,0.022
201.0496,13.9792,0.4596,28250000000000.0,0.023
200.8758,11.2961,0.8131,166820000000000.0,0.0911
358.925,11.6469,0.7042,106470000000000.0,0.0729
237.31,11.3889,0.8657,231490000000000.0,0.226
241.3842,16.4419,0.5783,57000000000000.0,0.037
245.09,17.3886,0.527,46370000000000.0,0.112
241.1488,17.7244,0.7652,132020000000000.0,0.037
241.7179,17.7811,0.4833,33110000000000.0,0.0321
243.8946,19.46,0.4985,36290000000000.0,0.0308
1.2475,11.7006,0.752,130090000000000.0,0.0761
187.6971,12.3369,0.7508,120920000000000.0,0.0036
189.1192,12.4058,0.4485,27340000000000.0,0.0667
151.7229,12.3933,0.7109,120280000000000.0,0.166
156.4829,12.6853,1.0212,348360000000000.0,0.1434
141.6521,12.7164,0.7527,205310000000000.0,0.489
7.4608,13.5039,0.7442,151100000000000.0,0.251
314.3892,13.5708,0.8193,195670000000000.0,0.2232
46.1258,15.4583,0.6033,67610000000000.0,0.083
46.3821,17.1675,0.812,239040000000000.0,0.4246
46.3258,17.4733,0.7888,219150000000000.0,0.4249
327.8596,13.7978,0.9614,310930000000000.0,0.2076
333.7196,13.8467,0.4765,31540000000000.0,0.0253
17.5229,13.9803,0.5139,40790000000000.0,0.0581
170.7942,14.1611,0.7205,151480000000000.0,0.34
222.775,14.6111,0.9998,327810000000000.0,0.146
223.6167,16.3703,0.5375,46140000000000.0,0.0456
223.245,16.6997,0.6664,87820000000000.0,0.0444
352.2079,14.8867,0.6517,134520000000000.0,0.497
350.4671,15.0431,0.8615,210550000000000.0,0.15
235.2221,14.7594,0.643,120990000000000.0,0.441
231.4771,18.2361,0.9474,273580000000000.0,0.127
129.3558,14.9831,1.3853,1005720000000000.0,0.2793
31.5975,15.1878,0.6254,89410000000000.0,0.248
161.885,15.2328,0.9212,274460000000000.0,0.2108
163.4512,16.8403,0.7962,155770000000000.0,0.0852
345.9429,15.3836,0.8764,245730000000000.0,0.247
145.5604,15.3864,0.9514,288460000000000.0,0.1664
55.3204,15.4075,0.7279,113010000000000.0,0.0311
58.2492,19.6894,0.9922,308430000000000.0,0.1085
188.4808,15.4322,0.8578,228150000000000.0,0.238
189.1004,16.5283,0.761,135030000000000.0,0.078
176.3442,15.4947,0.7118,109330000000000.0,0.067
18.2742,15.5169,0.6309,74490000000000.0,0.0442
193.3117,15.9314,0.6836,120280000000000.0,0.275
191.0067,16.895,0.8486,315920000000000.0,0.549
138.1242,15.9431,0.9037,227690000000000.0,0.0851
133.1371,16.3019,0.5631,55810000000000.0,0.098
136.8429,16.6567,0.6839,97540000000000.0,0.073
139.0288,17.6017,0.4833,33030000000000.0,0.0292
135.1579,20.9161,1.1326,523350000000000.0,0.2347
1.3442,16.2106,0.9218,249290000000000.0,0.1164
3.9829,16.2494,0.679,96380000000000.0,0.083
145.885,16.6672,0.7041,128670000000000.0,0.256
145.9379,16.7369,0.6226,81980000000000.0,0.18
350.8121,18.1897,0.7026,114690000000000.0,0.154
66.5308,16.92,0.882,290840000000000.0,0.38
263.9758,16.9944,0.6893,101130000000000.0,0.0858
171.7483,17.115,0.9094,241900000000000.0,0.127
80.6988,28.1089,0.8711,198680000000000.0,0.058
79.2433,29.4206,0.9826,306140000000000.0,0.13
117.85,17.5131,1.0369,382530000000000.0,0.1894
117.0396,18.5464,0.5603,51990000000000.0,0.04
169.3,17.74,0.6498,106800000000000.0,0.305
169.375,17.7458,0.7386,207780000000000.0,0.547
169.2279,18.0556,0.1606,1180000000000.0,0.0032
141.6696,17.6903,0.8379,187330000000000.0,0.117
140.7833,22.2978,0.4507,26840000000000.0,0.0316
102.345,18.0167,0.8951,216840000000000.0,0.064
227.7763,18.0436,0.8213,176250000000000.0,0.1161
223.6308,18.6419,0.8228,167550000000000.0,0.0586
222.8221,18.6833,0.3895,17520000000000.0,0.0439
223.28,21.8947,0.8188,175120000000000.0,0.1186
224.3162,22.3433,1.1956,631500000000000.0,0.2579
224.0625,22.3533,0.6125,72530000000000.0,0.108
225.0108,22.5681,0.6249,87450000000000.0,0.23
225.2146,22.7447,0.7582,200450000000000.0,0.45
24.9737,18.1686,0.6506,93160000000000.0,0.176
185.2321,18.1756,0.6967,151800000000000.0,0.4294
187.22,19.4078,0.8258,187590000000000.0,0.161
204.895,18.5122,0.719,118020000000000.0,0.114
37.6108,18.6061,0.7952,350430000000000.0,0.799
32.3796,19.7694,0.7629,134470000000000.0,0.0657
35.2854,19.9739,0.8278,260870000000000.0,0.45
351.2492,18.6972,0.7742,161340000000000.0,0.2018
349.6325,18.7053,0.7016,102060000000000.0,0.0403
349.6121,18.7239,0.7033,102680000000000.0,0.0389
42.515,19.1308,0.5676,58540000000000.0,0.122
21.7271,19.2117,0.3413,11770000000000.0,0.0427
17.575,19.6397,0.6045,87150000000000.0,0.317
259.0429,20.3569,0.8879,226010000000000.0,0.1306
176.1521,19.7589,0.9032,213980000000000.0,0.0214
129.63,19.8047,0.6556,90290000000000.0,0.123
186.775,19.8539,1.0381,445020000000000.0,0.3241
238.0508,20.2283,0.6715,98290000000000.0,0.136
236.835,20.9503,0.7244,141670000000000.0,0.266
181.0483,20.3481,0.4781,31860000000000.0,0.0252
25.7108,20.4203,0.7313,146580000000000.0,0.271
172.52,20.4772,0.9131,245400000000000.0,0.129
173.9771,21.5178,0.543,51820000000000.0,0.133
354.0342,20.6231,0.6758,92970000000000.0,0.0601
353.4712,21.6772,0.7881,153600000000000.0,0.1022
354.1742,23.93,0.9588,282840000000000.0,0.1245
209.5083,20.6364,0.5609,53230000000000.0,0.062
344.53,20.9183,0.8457,231050000000000.0,0.288
344.4558,20.9403,0.6358,99170000000000.0,0.297
169.8638,21.1153,0.5368,52230000000000.0,0.174
169.9313,21.4456,0.3278,10620000000000.0,0.061
167.4296,21.7619,0.5399,46150000000000.0,0.0319
9.9,21.2389,0.6292,75170000000000.0,0.0619
10.4462,21.4139,0.8473,190710000000000.0,0.1014
247.77,21.365,0.54,49220000000000.0,0.098
247.4421,21.3986,0.6498,93620000000000.0,0.184
247.5608,24.5803,0.6618,87760000000000.0,0.0655
175.5192,21.75,0.6519,89500000000000.0,0.131
154.5042,21.9097,0.693,120550000000000.0,0.24
197.8842,22.0089,1.1022,499190000000000.0,0.266
197.93,22.0267,0.8139,181580000000000.0,0.1716
162.1904,22.2403,0.5146,40460000000000.0,0.045
181.6167,22.2525,0.5906,62370000000000.0,0.0656
181.2404,22.6167,0.7969,185720000000000.0,0.2519
220.5767,22.3047,0.9083,232340000000000.0,0.0901
215.9492,24.0781,0.99,498040000000000.0,0.543
217.7796,25.6389,0.8833,213800000000000.0,0.0908
216.9921,26.5064,0.3044,8270000000000.0,0.0324
149.9387,22.3933,0.9439,306040000000000.0,0.244
149.5429,23.7819,0.844,197400000000000.0,0.1471
154.1504,24.8083,0.7175,113530000000000.0,0.0811
110.075,23.8156,0.9793,315130000000000.0,0.168
106.7608,27.1064,0.7699,137710000000000.0,0.062
184.4521,22.9211,0.6134,75240000000000.0,0.14
185.5679,25.9944,0.5869,67270000000000.0,0.16
188.2017,26.0942,0.7347,140620000000000.0,0.22
188.9875,27.7117,0.649,116180000000000.0,0.3821
267.9479,23.0706,0.4025,18790000000000.0,0.0132
213.8267,23.1492,0.3305,10920000000000.0,0.064
214.1121,23.2586,0.8168,177280000000000.0,0.138
214.63,25.1797,0.9166,294800000000000.0,0.29
215.7921,26.2556,0.5033,37590000000000.0,0.0375
90.5308,23.1658,0.9422,253210000000000.0,0.0654
98.0058,25.3272,0.8039,158740000000000.0,0.075
179.2408,24.2581,0.9,237460000000000.0,0.1392
37.0942,23.4231,0.7538,166710000000000.0,0.305
187.5592,23.4344,0.7163,130450000000000.0,0.221
189.2371,25.8408,0.6392,88270000000000.0,0.175
189.4108,26.5397,0.5727,70960000000000.0,0.278
170.2429,23.4428,0.7965,265290000000000.0,0.562
170.5846,24.3167,0.4415,25100000000000.0,0.0258
169.0133,24.6886,0.7424,128380000000000.0,0.1021
241.6771,23.4833,0.6558,110400000000000.0,0.31
241.2375,23.9206,0.6815,92890000000000.0,0.0326
240.7592,25.4039,0.8031,160410000000000.0,0.0888
253.5971,23.57,0.6211,71970000000000.0,0.0575
10.9671,24.4019,0.969,280140000000000.0,0.083
310.5292,24.4411,1.0681,382230000000000.0,0.1019
112.37,24.6056,1.0266,360420000000000.0,0.161
129.5429,25.1006,0.4831,32970000000000.0,0.0286
126.5267,26.4297,0.6605,118170000000000.0,0.351
130.7471,29.4761,1.0498,398900000000000.0,0.194
312.1721,25.2531,0.7531,127200000000000.0,0.0482
9.1492,25.7439,0.5493,48690000000000.0,0.0341
7.64,26.3044,0.8112,260370000000000.0,0.5
193.6596,25.7536,0.5514,57760000000000.0,0.193
193.7233,25.8486,0.6151,83680000000000.0,0.233
194.0204,25.9478,0.5807,70340000000000.0,0.232
190.845,27.2756,0.9304,277710000000000.0,0.194
245.255,25.7719,0.8452,201120000000000.0,0.161
245.8979,26.5703,0.8405,265940000000000.0,0.4274
244.5742,29.64,0.9215,302680000000000.0,0.2993
151.6646,25.91,0.8715,210600000000000.0,0.1162
115.3758,25.9628,0.7577,144410000000000.0,0.1577
204.46,26.6469,0.6401,106460000000000.0,0.342
204.6029,26.7444,0.2481,4460000000000.0,0.029
204.2954,26.8256,0.6644,128720000000000.0,0.41
204.7675,27.7567,0.5089,42540000000000.0,0.13
14.7258,26.9506,0.6505,81740000000000.0,0.0451
48.3438,26.4067,0.8493,204870000000000.0,0.1649
184.0829,26.5558,0.7282,173040000000000.0,0.428
185.5079,27.1553,0.7662,212310000000000.0,0.472
183.2458,27.4536,0.8058,177600000000000.0,0.179
181.6558,28.1836,0.5229,41790000000000.0,0.0283
184.6213,30.1961,0.5784,80910000000000.0,0.368
341.2713,26.6303,1.1267,556150000000000.0,0.304
119.5888,26.6792,0.8571,225990000000000.0,0.2315
122.4208,28.1994,0.9213,338910000000000.0,0.399
353.7708,27.37,0.7624,133600000000000.0,0.0613
346.9171,27.27,0.7163,116240000000000.0,0.11
231.4358,28.4281,0.9292,264630000000000.0,0.1515
254.5033,27.8544,0.6223,70790000000000.0,0.0337
181.0133,28.1233,0.8071,175490000000000.0,0.1631
37.04,28.1944,0.6075,65960000000000.0,0.0353
18.2958,28.4711,0.7883,181800000000000.0,0.262
211.5679,28.5144,0.6721,156390000000000.0,0.546
211.7292,28.5711,0.5596,55870000000000.0,0.118
180.7617,28.6039,0.8497,198790000000000.0,0.1341
176.6121,28.9053,0.6604,94770000000000.0,0.149
167.695,28.7061,0.5886,59780000000000.0,0.0314
199.0167,28.9222,0.58,71700000000000.0,0.253
196.9533,29.4297,0.7479,151740000000000.0,0.241
194.9621,31.3467,0.4832,33730000000000.0,0.0523
197.4817,32.3753,0.6058,85090000000000.0,0.29
197.9579,32.4614,0.7715,206270000000000.0,0.43
197.8029,32.4828,0.7984,185420000000000.0,0.245
196.1146,33.5919,0.9806,323190000000000.0,0.1882
118.3508,29.3661,0.7785,142360000000000.0,0.0621
345.0579,29.4419,0.6875,98680000000000.0,0.0688
10.1142,29.5594,0.8527,188720000000000.0,0.0712
90.9567,29.6647,0.6956,98530000000000.0,0.03
215.7946,29.7028,0.7359,147710000000000.0,0.261
202.4142,29.7681,0.3861,17130000000000.0,0.0473
200.0642,33.1417,0.5598,51650000000000.0,0.0362
200.2375,33.9042,0.8971,245860000000000.0,0.182
230.5563,29.8769,0.7029,110600000000000.0,0.117
14.3733,30.2144,0.4721,33710000000000.0,0.123
233.2258,30.3531,1.2608,816270000000000.0,0.345
233.3208,31.1486,0.6722,92130000000000.0,0.0673
126.6238,31.4208,0.5767,67200000000000.0,0.209
276.04,30.4919,0.7753,141970000000000.0,0.072
274.9667,33.1331,0.9233,297850000000000.0,0.2796
136.8246,33.5025,0.5855,95950000000000.0,0.483
139.955,33.7603,0.4459,25790000000000.0,0.023
143.3537,34.0522,0.413,20560000000000.0,0.0269
230.7829,30.845,0.728,117960000000000.0,0.0756
229.4829,31.4597,0.6264,160420000000000.0,0.744
158.7471,30.6944,0.9534,282670000000000.0,0.1407
260.5617,30.7042,0.4957,36340000000000.0,0.05
214.1354,30.7622,0.7922,170010000000000.0,0.186
116.6554,31.0136,0.608,67540000000000.0,0.0579
273.0067,31.2203,0.5661,64640000000000.0,0.2246
30.0688,31.4364,0.4618,28480000000000.0,0.0168
29.3571,32.2239,0.7817,148000000000000.0,0.0894
27.6871,33.09,0.5966,62530000000000.0,0.0363
186.1675,31.9864,0.5928,62910000000000.0,0.063
186.3,32.2292,0.6975,102130000000000.0,0.0594
16.7458,32.1583,0.6138,73260000000000.0,0.112
16.8679,32.4619,0.5159,39720000000000.0,0.017
18.0721,33.0383,0.7658,144140000000000.0,0.1249
17.7421,33.1494,0.4205,21530000000000.0,0.0177
16.2792,33.1897,0.7844,148190000000000.0,0.08
17.925,33.4531,0.8519,196960000000000.0,0.1173
107.9483,32.3189,0.8657,196730000000000.0,0.0672
254.7592,32.4875,0.4652,30380000000000.0,0.0621
254.9367,32.6136,0.8673,204540000000000.0,0.1013
244.7671,32.5117,0.7098,134470000000000.0,0.274
240.0946,33.2217,0.7962,156160000000000.0,0.088
243.5479,34.4236,0.7133,135730000000000.0,0.269
238.5733,32.6278,0.6829,97310000000000.0,0.075
150.6608,32.6994,0.6815,94400000000000.0,0.0499
150.7671,32.9078,0.9874,425510000000000.0,0.4161
190.3883,32.8397,0.8704,282840000000000.0,0.39
162.4367,33.1439,0.5695,66190000000000.0,0.23
164.4325,37.635,0.446,26100000000000.0,0.0353
6.1325,33.2086,0.9834,339390000000000.0,0.226
20.9208,33.2611,0.5955,61060000000000.0,0.0164
20.8008,33.4611,0.5007,36240000000000.0,0.0146
329.1025,33.3103,0.9627,273400000000000.0,0.078
255.6329,33.5131,0.7385,124160000000000.0,0.0843
255.3658,34.0097,0.5591,54500000000000.0,0.096
254.9358,34.1714,0.643,107760000000000.0,0.341
254.6408,34.5022,0.8067,210190000000000.0,0.33
228.1554,34.86,0.7994,168070000000000.0,0.1489
228.5921,36.6061,0.8982,304380000000000.0,0.372
172.8433,33.5817,0.959,313080000000000.0,0.2212
170.7079,34.1233,0.5081,38860000000000.0,0.043
165.9046,35.9217,0.6485,184730000000000.0,0.775
166.125,36.0056,0.6357,124870000000000.0,0.497
358.9571,34.3858,0.871,217190000000000.0,0.148
316.5679,34.4403,0.785,149550000000000.0,0.087
203.5992,34.6911,0.4423,25200000000000.0,0.024
131.7971,34.8211,0.7216,196830000000000.0,0.56
132.2979,37.5231,0.6324,91650000000000.0,0.24
134.0354,37.9478,1.121,618860000000000.0,0.4107
244.3633,34.9367,0.6127,67440000000000.0,0.0315
245.3529,38.1694,1.01,481100000000000.0,0.463
265.1363,35.6475,0.6757,91410000000000.0,0.0428
182.7583,35.3325,0.8232,181470000000000.0,0.138
193.8779,35.3603,0.7546,142780000000000.0,0.1585
198.0808,39.0161,0.7979,221380000000000.0,0.404
198.5613,41.3928,0.879,235930000000000.0,0.2011
291.3429,37.0969,1.1999,679320000000000.0,0.314
239.4383,35.5039,0.9343,269980000000000.0,0.1549
259.4,36.4636,0.8223,187130000000000.0,0.1709
258.9688,36.9372,0.3668,15320000000000.0,0.091
45.4558,35.835,0.6754,91590000000000.0,0.0464
28.245,37.5353,1.0493,446820000000000.0,0.2993
213.7962,36.2008,0.7158,227110000000000.0,0.7
286.055,36.4467,0.739,123660000000000.0,0.078
172.5075,36.6303,0.6447,80690000000000.0,0.06
171.3458,38.9017,0.6258,126530000000000.0,0.5477
171.1958,38.9953,0.5948,81600000000000.0,0.3014
333.9246,37.305,0.5494,48050000000000.0,0.019
178.1492,37.5461,0.7414,146030000000000.0,0.23
142.1575,37.7986,0.9516,314640000000000.0,0.2472
216.2692,37.9711,0.5976,71230000000000.0,0.163
203.7654,37.8333,0.5189,59380000000000.0,0.382
203.6433,37.9494,0.4363,32450000000000.0,0.308
204.1754,38.6256,0.4878,39430000000000.0,0.18
204.7092,38.855,0.839,215370000000000.0,0.246
155.5196,38.5119,0.6174,70130000000000.0,0.0491
155.1892,38.5244,0.4763,32320000000000.0,0.053
156.795,39.135,0.8633,259960000000000.0,0.338
155.0667,39.2294,0.4995,40880000000000.0,0.1463
154.905,39.3422,0.5977,89820000000000.0,0.373
155.1271,39.3797,0.4667,33230000000000.0,0.143
119.2317,38.65,0.8951,254320000000000.0,0.2203
116.2192,39.4572,1.04,694000000000000.0,0.697
145.2517,38.7186,0.5651,68850000000000.0,0.287
149.0121,41.1189,0.7527,230700000000000.0,0.587
265.7013,39.0097,0.6394,77430000000000.0,0.0423
206.0762,39.1119,0.8619,247740000000000.0,0.2997
205.225,39.9744,0.673,102400000000000.0,0.169
205.14,40.2961,0.5803,65760000000000.0,0.171
205.7046,40.4697,0.6586,176700000000000.0,0.699
205.8542,40.8872,0.5166,44950000000000.0,0.14
182.8171,39.1947,0.803,209730000000000.0,0.34
181.3021,39.3494,0.7047,103220000000000.0,0.0381
135.02,39.34,0.5497,51760000000000.0,0.0951
114.1058,39.4333,1.0128,331050000000000.0,0.1177
111.5021,41.3822,0.8697,208460000000000.0,0.112
18.0358,39.4544,0.6825,111270000000000.0,0.208
250.6621,39.5981,0.6525,114420000000000.0,0.355
250.4679,40.0247,0.8338,270950000000000.0,0.464
253.2317,40.1536,0.9139,251160000000000.0,0.1492
253.1658,40.1931,0.8955,236060000000000.0,0.1481
257.7617,39.6942,0.6956,101820000000000.0,0.0647
260.725,41.0917,0.7709,179160000000000.0,0.309
258.5775,43.6897,0.4753,31360000000000.0,0.0276
159.88,39.7939,0.4839,35220000000000.0,0.0926
158.0617,40.2647,0.8233,171190000000000.0,0.079
159.5079,41.7772,0.5785,62140000000000.0,0.125
188.7771,41.2956,0.6782,106990000000000.0,0.189
187.94,41.6197,0.6541,94690000000000.0,0.176
215.9683,40.2619,0.712,111050000000000.0,0.0822
168.4525,40.2886,0.5683,56330000000000.0,0.0795
167.3283,41.5625,0.7806,145500000000000.0,0.0763
299.8763,40.7364,1.1203,421850000000000.0,0.0561
246.9175,40.9197,0.5093,38680000000000.0,0.0301
246.8483,42.6783,0.5059,37960000000000.0,0.0317
155.775,41.4131,0.5635,64270000000000.0,0.232
150.1271,44.1544,0.9169,254950000000000.0,0.154
29.2825,41.34,0.8328,177530000000000.0,0.081
49.9467,41.5131,1.2856,615080000000000.0,0.0179
171.1521,41.9319,0.7245,131250000000000.0,0.195
172.2258,42.8667,0.7369,175860000000000.0,0.411
171.9392,43.1631,0.7234,153990000000000.0,0.344
170.0321,43.3019,0.8519,339680000000000.0,0.6
100.8538,42.245,1.1059,419750000000000.0,0.091
122.6008,42.2719,0.6962,102010000000000.0,0.064
121.4304,45.6903,0.8076,170850000000000.0,0.1353
228.8871,43.7764,0.6258,79650000000000.0,0.137
228.9033,43.8472,0.596,76940000000000.0,0.243
179.1942,42.6356,0.7516,143380000000000.0,0.174
175.8762,46.3844,1.0344,352380000000000.0,0.1167
217.2742,42.6867,0.6334,204350000000000.0,0.92
267.3404,42.7622,0.8953,257050000000000.0,0.2296
270.6812,42.7961,0.5231,42710000000000.0,0.0502
104.2529,42.7803,0.8409,190880000000000.0,0.125
137.6654,42.8114,0.6717,161770000000000.0,0.576
140.305,45.4789,0.7481,164800000000000.0,0.315
140.2858,45.6436,0.8652,218810000000000.0,0.1745
91.165,42.9528,0.9708,291670000000000.0,0.118
349.6637,42.9658,0.5969,61520000000000.0,0.0174
352.6658,45.9372,1.0829,461040000000000.0,0.242
131.2363,42.9817,0.5393,46960000000000.0,0.0541
132.2346,44.8711,0.4889,138680000000000.0,1.261
132.1983,44.9392,0.5645,95800000000000.0,0.574
276.0792,43.1636,0.84,284690000000000.0,0.487
214.1171,44.7772,0.8681,283850000000000.0,0.4
263.2608,43.7628,0.6644,85930000000000.0,0.0307
181.3875,44.3192,0.5918,83780000000000.0,0.3384
181.5279,44.3244,0.5676,70380000000000.0,0.2946
181.4658,44.4872,0.6694,163240000000000.0,0.5921
184.4321,47.4872,0.8628,240490000000000.0,0.27
253.0679,44.8203,0.9606,299710000000000.0,0.1753
72.5146,45.0242,0.8664,188970000000000.0,0.022
281.0075,45.5567,0.7985,158130000000000.0,0.0918
97.2908,46.1011,0.8926,229240000000000.0,0.129
121.0917,46.7822,0.8657,222050000000000.0,0.1868
145.7796,46.9975,0.9682,396980000000000.0,0.4069
149.58,47.0381,0.8066,225020000000000.0,0.39
156.2742,47.8372,0.5204,42130000000000.0,0.052
125.5404,47.1,1.0419,365080000000000.0,0.1303
194.1642,47.2553,0.5984,93390000000000.0,0.404
138.2587,47.7058,0.664,87390000000000.0,0.051
130.72,50.3878,0.6153,103800000000000.0,0.423
170.3975,48.0628,0.8208,175220000000000.0,0.112
163.4338,49.4989,0.9248,257850000000000.0,0.14
164.0525,49.5531,0.5845,69240000000000.0,0.199
230.2271,48.6694,0.94,262050000000000.0,0.1076
214.7475,49.0503,1.019,400820000000000.0,0.2806
215.3979,49.5519,0.8214,168740000000000.0,0.0716
173.7104,49.0578,0.5392,46080000000000.0,0.0341
243.54,49.1531,0.64,78800000000000.0,0.0579
240.3475,53.9061,0.8822,216430000000000.0,0.1068
185.3542,49.3019,0.7933,309160000000000.0,0.7
207.2508,49.3092,0.7333,132180000000000.0,0.167
203.585,50.5181,0.7786,265590000000000.0,0.62
153.7854,49.5256,0.6695,127690000000000.0,0.383
153.4042,49.5514,0.6512,89370000000000.0,0.133
155.2467,51.5486,0.6191,116000000000000.0,0.5019
136.9621,49.6067,0.5127,39650000000000.0,0.0352
117.8438,50.2125,0.5245,41970000000000.0,0.0228
119.9283,54.0017,0.861,200520000000000.0,0.1032
280.9129,50.3636,0.8093,168580000000000.0,0.1158
250.8042,51.2497,0.9095,260770000000000.0,0.199
254.5208,52.9014,0.7325,184070000000000.0,0.4655
254.4517,53.0292,0.7395,192440000000000.0,0.479
252.3008,53.4175,0.4702,30400000000000.0,0.029
33.5675,51.7467,0.7789,140830000000000.0,0.0489
197.1371,53.7042,0.7062,141010000000000.0,0.33
152.8458,53.5631,0.5994,92370000000000.0,0.39
152.7713,53.6575,0.5536,67860000000000.0,0.329
152.1992,53.7008,0.6451,204010000000000.0,0.872
152.7508,53.9683,0.6413,110790000000000.0,0.372
152.5667,54.4883,0.5145,40500000000000.0,0.047
152.5658,54.5033,0.3736,15480000000000.0,0.045
152.8558,54.835,0.7096,137400000000000.0,0.294
149.5542,55.2683,0.7732,162860000000000.0,0.214
268.3742,52.0919,0.6789,97850000000000.0,0.0988
267.4225,53.5794,0.6959,104590000000000.0,0.0909
212.8517,52.2106,0.9912,453060000000000.0,0.4599
