RA,DEC,R500,M500,Z
212.6188,-42.7769,0.7482,124830000000000.0,0.049
204.3675,-41.3336,0.6913,98740000000000.0,0.0519
349.5229,-42.5928,0.6145,81290000000000.0,0.209
349.775,-42.1139,0.9367,244030000000000.0,0.045
350.3892,-41.8989,0.9415,258630000000000.0,0.0894
304.6067,-41.0467,0.4591,28040000000000.0,0.0192
315.3671,-41.0017,0.9605,297740000000000.0,0.1694
193.4204,-39.5319,1.2717,698380000000000.0,0.1794
56.4404,-41.2075,0.7498,126990000000000.0,0.0603
61.3513,-41.0042,0.7502,257140000000000.0,0.686
200.1779,-41.0397,0.6708,90000000000000.0,0.0495
201.3954,-38.4306,0.7474,190850000000000.0,0.445
201.2571,-38.2264,0.6442,103010000000000.0,0.296
32.8563,-40.2867,0.8072,164780000000000.0,0.1008
32.5575,-39.5475,0.4517,30930000000000.0,0.168
32.6067,-39.4964,0.4794,36850000000000.0,0.165
53.2733,-39.2303,0.5047,46820000000000.0,0.245
53.5154,-39.0136,0.4885,35190000000000.0,0.0623
96.1529,-37.3358,0.5887,59900000000000.0,0.0333
359.9821,-39.4797,0.8826,215790000000000.0,0.1024
2.4438,-35.275,0.6639,87280000000000.0,0.05
4.3904,-35.165,0.7883,152910000000000.0,0.0968
27.5071,-39.4528,0.7134,152660000000000.0,0.373
89.305,-37.4661,0.6894,97220000000000.0,0.0442
188.5704,-38.9428,1.134,526830000000000.0,0.2373
189.1937,-35.5328,0.7512,129320000000000.0,0.0736
65.1863,-38.6992,0.5855,71540000000000.0,0.225
65.0254,-38.6342,0.7046,143310000000000.0,0.35
67.1767,-38.0964,0.5899,67890000000000.0,0.154
196.4771,-37.6614,0.7432,122420000000000.0,0.0497
48.4083,-38.2986,0.694,102940000000000.0,0.0833
57.6829,-38.0236,0.7986,211780000000000.0,0.363
58.9971,-37.6961,0.8349,274940000000000.0,0.473
57.9075,-36.8306,0.642,111180000000000.0,0.372
58.8746,-36.5675,1.0079,405320000000000.0,0.32
54.6163,-35.4483,0.4017,18550000000000.0,0.0051
206.7188,-37.8744,0.619,69920000000000.0,0.0377
352.9671,-37.7864,0.6226,91350000000000.0,0.28
342.3233,-37.4572,0.4717,30700000000000.0,0.0289
14.0146,-37.5453,0.8857,231880000000000.0,0.163
281.1321,-37.4047,1.0227,372410000000000.0,0.203
80.5575,-36.4136,0.7638,210280000000000.0,0.472
83.3275,-36.3256,0.6257,72940000000000.0,0.0479
109.295,-36.3603,0.7176,108380000000000.0,0.032
341.5492,-36.0061,0.6138,70130000000000.0,0.0673
302.9721,-35.9278,0.6153,78500000000000.0,0.172
300.805,-32.7919,0.7169,135850000000000.0,0.256
0.8004,-35.9272,0.7388,120160000000000.0,0.049
346.3571,-35.7619,0.6062,77380000000000.0,0.201
96.7842,-35.4889,0.824,167780000000000.0,0.0554
359.8637,-34.3061,0.6198,75680000000000.0,0.115
321.4796,-34.7244,0.7066,107870000000000.0,0.0757
308.5813,-34.4875,0.9196,249430000000000.0,0.124
174.8638,-33.4539,0.8789,214200000000000.0,0.1076
210.8996,-33.9878,0.4523,26660000000000.0,0.0132
204.1617,-33.9583,0.3539,12760000000000.0,0.0123
202.4558,-33.1731,0.3805,16450000000000.0,0.0511
203.0942,-33.1394,0.8265,168210000000000.0,0.0487
202.885,-31.8153,0.6548,83320000000000.0,0.0448
204.5242,-29.7394,0.7211,128610000000000.0,0.189
292.9112,-33.9131,0.9136,238060000000000.0,0.0972
189.1863,-33.9028,0.8103,163270000000000.0,0.0796
207.6829,-33.7214,0.8849,220040000000000.0,0.1142
206.8013,-30.4194,0.378,15590000000000.0,0.0145
207.3304,-30.3094,0.4715,30300000000000.0,0.016
208.3721,-27.8886,0.6651,87490000000000.0,0.0468
37.6812,-33.0986,0.72,114140000000000.0,0.076
246.5863,-33.4889,1.1377,465560000000000.0,0.1098
246.995,-29.8808,0.6597,86770000000000.0,0.064
253.7571,-26.4247,0.8986,225830000000000.0,0.094
57.0933,-33.4758,0.829,190550000000000.0,0.165
54.8513,-33.2192,0.7721,172120000000000.0,0.269
53.0562,-29.1775,0.6911,108690000000000.0,0.15
56.7508,-29.0036,0.9502,280180000000000.0,0.1419
55.1133,-28.6722,0.672,92090000000000.0,0.068
55.215,-28.3861,0.806,213520000000000.0,0.346
54.2058,-28.0814,0.6952,105710000000000.0,0.105
223.8079,-33.4267,0.8848,220290000000000.0,0.1158
218.5721,-32.4844,0.9676,328550000000000.0,0.241
82.1671,-32.8581,0.6956,126420000000000.0,0.273
81.3867,-31.5956,0.7179,109130000000000.0,0.038
198.4129,-32.8447,0.4101,20600000000000.0,0.0518
202.4288,-31.6025,0.8328,172100000000000.0,0.0488
194.9396,-32.6167,0.5307,45710000000000.0,0.076
194.2492,-31.3219,0.7174,110760000000000.0,0.0561
193.1421,-31.2678,0.8575,188720000000000.0,0.0535
196.0696,-30.5153,0.4278,22540000000000.0,0.0117
193.8938,-30.3306,0.8043,155830000000000.0,0.0541
359.9,-32.185,0.6776,147840000000000.0,0.478
342.9483,-32.1033,1.099,484090000000000.0,0.246
231.0533,-31.9039,1.0452,358550000000000.0,0.1028
18.4758,-31.7519,0.3405,11440000000000.0,0.0191
20.65,-28.5347,0.7256,140850000000000.0,0.256
255.2229,-31.7414,0.8561,203310000000000.0,0.134
354.0708,-31.6103,0.7525,128860000000000.0,0.0643
4.0825,-31.3653,0.7431,126070000000000.0,0.0805
357.2229,-31.2867,0.6822,108310000000000.0,0.184
42.4038,-31.1886,0.5356,44690000000000.0,0.023
327.2808,-30.6986,0.9713,292190000000000.0,0.1184
