RA,DEC,LAMBDA,Z
238.49139154815396,24.033658875415753,143.35520935058594,
241.86018223023828,24.991622697537586,59.75794982910156,0.27071142196655273
238.23868596240473,27.66330565055866,35.71611022949219,0.08281300961971283
241.69526498846938,27.987999262202393,37.3636474609375,0.16963177919387817
239.22643868252214,24.669185918208694,45.35725402832031,0.1786484271287918
240.43566841158915,27.30263752905726,34.25163269042969,0.16744114458560944
241.0948491331196,27.478104092190303,52.618621826171875,0.28298220038414
241.1983619001039,24.493835516411455,63.46490478515625,0.41798925399780273
239.92370487971746,26.49952828506192,33.855003356933594,0.089537113904953
241.53051818097077,21.8552224121717,56.90526580810547,0.36470499634742737
244.44697322487463,25.04025897631059,45.525054931640625,0.2816014289855957
243.26887127729765,23.23176853304924,62.48858642578125,0.3730550706386566
241.8051984203475,28.12835301816509,41.55876159667969,0.3032911419868469
238.4078453029088,24.382167207075817,30.239572525024414,0.2048216313123703
243.6094843655731,22.009090134570034,34.16010284423828,0.22849959135055542
242.23023859588798,28.69390535257107,38.06537628173828,0.3112727403640747
239.69512312575563,24.886848899673776,41.848609924316406,0.26577478647232056
243.66591178927555,23.48702020647774,44.97587585449219,0.35968369245529175
241.02149435076865,23.746459058746094,39.54510498046875,0.33214351534843445
239.58426218681922,25.339644746884964,58.949432373046875,0.4402415156364441
237.41132434409406,25.76458360822387,31.704050064086914,0.2326018214225769
241.58795211396995,24.382570013915565,34.068572998046875,0.28028056025505066
242.5913115047431,22.74000825683363,32.71087646484375,0.3073483109474182
243.46212876658518,25.05804941512136,43.130027770996094,0.4002198874950409
243.06384438348283,26.226263651963496,60.10881042480469,0.4837646782398224
243.3551488614911,25.58071108879469,52.19148254394531,0.48348718881607056
241.60618520078685,23.893153608392307,70.5584716796875,0.5419492721557617
239.14812571163122,29.97286087798369,40.201072692871094,0.42801037430763245
242.2801220182704,22.630730241371545,31.459970474243164,0.26593664288520813
241.19021070094078,24.873882781665543,62.44282531738281,
241.96688606663918,28.266032954120636,45.738624572753906,0.4580596685409546
241.70422634804373,29.186351377092958,30.30059242248535,0.27898505330085754
243.29759064138125,23.368590028279268,33.855003356933594,0.3581257462501526
238.90868961303136,27.670794202867963,53.381370544433594,0.5116851925849915
243.36441321046914,22.983353411919953,36.09748077392578,
241.26055681938362,23.584063070152684,31.246400833129883,0.3514120280742645
239.65469472031407,24.484511056102512,34.831321716308594,0.4267646074295044
244.0385817211913,25.620783047820677,34.556732177734375,0.3976386487483978
243.1644840335492,23.145529840572053,31.810834884643555,0.37431836128234863
238.7196184853174,26.307489159508286,60.53594970703125,0.5248286724090576
242.77259674829918,22.254949826490467,46.638671875,
241.4021399920416,24.05386949957197,59.78845977783203,0.5459728837013245
238.0454641906444,26.367510975195394,46.89800262451172,0.48436400294303894
240.30172118133032,29.305757162061365,63.144554138183594,
240.31850447825343,23.185085548732104,30.30059242248535,
239.22186717691136,28.34284904357913,38.217926025390625,
239.8664418292572,24.171416553934726,40.33836364746094,0.43990257382392883
237.59860197088108,24.441239075625553,42.65711975097656,0.48476704955101013
241.79406935282307,25.05290414514896,54.87635803222656,
240.91299967910544,25.386515396309,45.799644470214844,0.5311501622200012
242.83145901956522,21.95287449612368,47.37091064453125,0.44667449593544006
240.78146734236952,24.96095474557968,51.53551483154297,0.5342172384262085
241.01185959363954,23.41430014062767,34.95336151123047,0.4215889275074005
239.00777529517546,23.54370288678352,54.44921875,0.5409290194511414
238.27767182938544,28.185251210561578,41.421470642089844,0.5262444615364075
239.09981826782348,24.819497716733018,33.87025451660156,0.46480897068977356
239.86271731324928,24.534922050556823,36.82971954345703,0.5071923136711121
241.82504046556397,22.682626399293675,51.21516418457031,0.4842326045036316
238.13560692143147,26.938650883018916,33.71770477294922,0.44418957829475403
242.37350283027865,22.035817039494674,33.16852569580078,
243.70347786767798,26.2818098647469,33.122764587402344,0.522325336933136
253.06079442222804,44.823307410069006,84.54727935791016,0.1755083054304123
249.90828250305094,47.05288370397957,61.78685760498047,
245.97465076974163,47.95955323574091,56.005226135253906,0.19667421281337738
246.7368187899488,46.77531130788764,55.47129821777344,
249.15085562494033,45.68386063519639,48.56079864501953,0.2566784620285034
246.77597411507207,46.98551024225658,53.122032165527344,0.27367162704467773
249.5549061622321,48.04322867169087,43.89277648925781,
252.54439782527956,44.58519605128648,37.973846435546875,0.21495945751667023
248.55647781565088,49.84544670313966,53.579681396484375,
251.77952974661588,48.62136633107511,35.68560028076172,
245.0302191152162,47.68478167087202,37.57721710205078,0.19511498510837555
253.48972291180831,46.69439350587756,64.33444213867188,
251.66639721169923,44.18446635744551,45.38776397705078,0.39706963300704956
246.77476003874236,49.203115896096875,45.40301513671875,0.3113861680030823
244.78943398992863,48.90657024110073,53.76274108886719,
247.83904155657768,47.29235048499213,31.841344833374023,0.2335512936115265
249.12633039971684,46.106124346341474,49.155738830566406,0.25971636176109314
246.68414104492786,47.11751091636534,34.4346923828125,0.2746526598930359
252.39047212077332,44.78613402837002,77.80458068847656,0.6326004266738892
250.53706354819042,44.77940259529507,35.33473205566406,
246.99229475794607,46.97965242393197,32.17695617675781,
250.76432168538867,45.79234111288026,41.31468200683594,0.3999612033367157
253.6019995696614,44.70301463308046,49.84221649169922,0.4749147891998291
