RA,DEC,LAMBDA,Z
238.49139154815396,24.033658875415753,143.35520935058594,
241.86018223023828,24.991622697537586,59.75794982910156,0.27071142196655273
238.23868596240473,27.66330565055866,35.71611022949219,0.08281300961971283
241.69526498846938,27.987999262202393,37.3636474609375,0.16963177919387817
239.22643868252214,24.669185918208694,45.35725402832031,0.1786484271287918
240.43566841158915,27.30263752905726,34.25163269042969,0.16744114458560944
241.0948491331196,27.478104092190303,52.618621826171875,0.28298220038414
240.8326620101035,25.45372043728666,28.89713478088379,0.08953419327735901
241.1983619001039,24.493835516411455,63.46490478515625,0.41798925399780273
239.22227410794073,24.500999227048666,28.48525047302246,0.16859261691570282
239.92370487971746,26.49952828506192,33.855003356933594,0.089537113904953
241.53051818097077,21.8552224121717,56.90526580810547,0.36470499634742737
244.44697322487463,25.04025897631059,45.525054931640625,0.2816014289855957
243.26887127729765,23.23176853304924,62.48858642578125,0.3730550706386566
241.8051984203475,28.12835301816509,41.55876159667969,0.3032911419868469
241.18887211067198,24.623501032533014,26.83771324157715,0.08774930983781815
238.4078453029088,24.382167207075817,30.239572525024414,0.2048216313123703
243.6094843655731,22.009090134570034,34.16010284423828,0.22849959135055542
242.23023859588798,28.69390535257107,38.06537628173828,0.3112727403640747
239.69512312575563,24.886848899673776,41.848609924316406,0.26577478647232056
243.66591178927555,23.48702020647774,44.97587585449219,0.35968369245529175
241.02149435076865,23.746459058746094,39.54510498046875,0.33214351534843445
239.58426218681922,25.339644746884964,58.949432373046875,0.4402415156364441
239.19526457772042,25.85704815141571,22.840909957885742,
237.41132434409406,25.76458360822387,31.704050064086914,0.2326018214225769
241.58795211396995,24.382570013915565,34.068572998046875,0.28028056025505066
240.76671863621436,25.42778706113497,21.742551803588867,0.17459242045879364
241.8776449248615,23.23630293814578,20.796743392944336,
242.5913115047431,22.74000825683363,32.71087646484375,0.3073483109474182
241.02507883787158,25.452889431097777,28.62254524230957,0.21828316152095795
243.46212876658518,25.05804941512136,43.130027770996094,0.4002198874950409
243.06384438348283,26.226263651963496,60.10881042480469,0.4837646782398224
243.3551488614911,25.58071108879469,52.19148254394531,0.48348718881607056
241.60618520078685,23.893153608392307,70.5584716796875,0.5419492721557617
239.14812571163122,29.97286087798369,40.201072692871094,0.42801037430763245
242.2801220182704,22.630730241371545,31.459970474243164,0.26593664288520813
241.19021070094078,24.873882781665543,62.44282531738281,
243.59271593997397,23.3410918165562,28.86662483215332,
241.25237770187695,29.03591542542251,25.220685958862305,0.27769461274147034
241.96688606663918,28.266032954120636,45.738624572753906,0.4580596685409546
242.00960919238338,24.597760875537524,25.083391189575195,0.1777702271938324
241.70422634804373,29.186351377092958,30.30059242248535,0.27898505330085754
238.88035420185017,28.220368060963008,22.642595291137695,0.1506272256374359
243.29759064138125,23.368590028279268,33.855003356933594,0.3581257462501526
238.90868961303136,27.670794202867963,53.381370544433594,0.5116851925849915
243.36441321046914,22.983353411919953,36.09748077392578,
241.04226414322198,22.738583226393533,27.50893211364746,0.2899177372455597
239.648649597847,30.58307854054176,26.70041847229004,0.2881620228290558
241.26055681938362,23.584063070152684,31.246400833129883,0.3514120280742645
239.65469472031407,24.484511056102512,34.831321716308594,0.4267646074295044
244.0385817211913,25.620783047820677,34.556732177734375,0.3976386487483978
240.902960447054,26.769838271944835,21.971376419067383,0.21456992626190186
243.1644840335492,23.145529840572053,31.810834884643555,0.37431836128234863
238.7196184853174,26.307489159508286,60.53594970703125,0.5248286724090576
242.77259674829918,22.254949826490467,46.638671875,
241.92185661400043,26.185179520534092,24.000288009643555,0.26776593923568726
241.4021399920416,24.05386949957197,59.78845977783203,0.5459728837013245
243.58691539305033,22.1962328944036,23.60365867614746,0.2944501042366028
238.0454641906444,26.367510975195394,46.89800262451172,0.48436400294303894
241.33607174273504,28.4444326012406,25.55629539489746,0.37591105699539185
240.90970324426047,28.963490986090136,23.77146339416504,0.28208819031715393
240.30172118133032,29.305757162061365,63.144554138183594,
239.1091440225591,30.669904154035887,28.86662483215332,0.3510814607143402
242.45234527287408,26.578097398640082,21.040822982788086,0.28736162185668945
240.31850447825343,23.185085548732104,30.30059242248535,
242.20160461286844,24.679481125133155,21.864591598510742,0.26569369435310364
241.8185939468625,29.369426775373185,23.588403701782227,0.2775682806968689
239.22186717691136,28.34284904357913,38.217926025390625,
237.8288531269373,27.35829021040694,22.123926162719727,0.24754317104816437
239.8664418292572,24.171416553934726,40.33836364746094,0.43990257382392883
242.43614505157439,24.454089528028167,23.14600944519043,0.2628743648529053
237.59860197088108,24.441239075625553,42.65711975097656,0.48476704955101013
241.79406935282307,25.05290414514896,54.87635803222656,
240.91299967910544,25.386515396309,45.799644470214844,0.5311501622200012
242.83145901956522,21.95287449612368,47.37091064453125,0.44667449593544006
239.23855133603556,28.050639097208727,27.691991806030273,0.4153290092945099
240.78146734236952,24.96095474557968,51.53551483154297,0.5342172384262085
241.01185959363954,23.41430014062767,34.95336151123047,0.4215889275074005
239.00777529517546,23.54370288678352,54.44921875,0.5409290194511414
242.87843357888337,24.874507104392173,27.43265724182129,0.3986252546310425
239.92661025476403,27.050351022292553,28.088621139526367,0.3829592168331146
238.27767182938544,28.185251210561578,41.421470642089844,0.5262444615364075
