RA,DEC,GLON,GLAT,M500,R500,REDMAPPER,MCXC,Z
291.3596104116613,-36.517943550953035,2.045798518391053,-22.15216562825333,0.0,1.9277788400650024,,,
292.01476819114833,-35.87609336413605,2.8827172660800113,-22.455397958259283,0.0,1.9426833391189575,,,
358.35121492947206,-33.29324444565804,3.2102390691077103,-76.0471306479142,0.0,1.0358397960662842,,,
350.53751949516834,-34.57521351135824,6.165209636383126,-69.4967470074402,0.0,1.3319021463394165,,,
318.17957903525536,-36.08439707479425,7.671855135958613,-43.18767201831304,0.0,1.7179193496704102,,,
304.2413268782846,-33.32638003469048,8.707799466772673,-31.442067567855204,0.0,3.311037063598633,,,
244.58601314380869,-4.189299423318617,9.047733881236097,31.09703599407866,0.0,2.331486940383911,,,
288.94238147627686,-26.994796945452578,10.768694811495543,-16.918422059734766,0.0,2.8041040897369385,,,
354.05385028252704,-32.13431322927361,11.369055192336305,-72.93141281067716,0.0,2.3239922523498535,,,
342.97603694410446,-33.39418142720743,11.922149977332344,-63.53799838894335,0.0,1.1236270666122437,,,
356.85261337200467,-31.150862430219583,13.063603098663991,-75.46759891088129,0.0,1.7454845905303955,,,
341.6334404145062,-32.20111554323177,14.721112093134966,-62.496370223872844,0.0,2.6306724548339844,,,
351.1688846581034,-30.65106965899271,17.25728471582303,-70.71674355868564,0.0,1.1215441226959229,,,
328.7492675027851,-30.13246735779467,17.72620230079388,-51.4041786207047,0.0,2.324930191040039,,,
311.99570839284434,-27.019505898211307,18.066878298153814,-36.38288342057284,0.0,1.05417799949646,,,
5.254294922676838,-28.621724038644654,18.645026490638713,-83.11475085385493,0.0,0.9148041009902954,,,
290.7770613647855,-19.39917647526413,18.733981166841666,-15.491083277931352,0.0,1.1040594577789307,,,
340.6369626168417,-30.31504625637989,18.761895282854137,-61.65730280702573,0.0,1.5450687408447266,,,
309.27813172189326,-25.592982941711508,18.925443054383774,-33.6488761229315,0.0,2.209817886352539,,,
313.0083369859018,-25.482615900188545,20.214252207165387,-36.84774609548391,0.0,1.0923011302947998,,,
324.4985052749286,-27.727017922048518,20.495118123572773,-47.35704398268069,0.0,1.3524911403656006,,,
305.10248379064075,-22.44790203972058,21.0295735959371,-29.043872478150817,0.0,1.2721422910690308,,,
262.15230146131677,-1.2175533501491103,22.03085620353039,17.754108078887995,0.0,3.257272958755493,,,
260.19544051854706,0.9684971900822598,23.055625245508455,20.523696733096386,0.0,1.548865795135498,,,
291.39601420243486,-14.2055305184567,23.876707907875154,-13.88471112574787,0.0,2.074561834335327,,,
295.5950787598223,-15.435756024383723,24.46384748049345,-18.088550006605487,0.0,4.716490268707275,,,
319.03940793059814,-23.19402521184155,25.02090631192355,-41.49117382270205,0.0,1.4361870288848877,,,
0.09024612288385998,-28.10026277448705,25.073016246948868,-78.64893471431864,0.0,2.446831226348877,,,
324.6775049640849,-23.984932874356705,25.899679474169197,-46.679762424582236,0.0,2.407705783843994,,,
303.427767907946,-17.02519961341766,26.09056868864151,-25.625029448528892,0.0,1.971587061882019,,,
337.6571827357,-26.266352311568042,26.340177156763538,-58.64204645391587,0.0,0.8505303263664246,,,
266.2912276558384,2.2181935107391806,27.238720985477272,15.738385758442845,0.0,1.4336711168289185,,,
259.1370903099557,5.964182524251815,27.288552338114393,23.79646535630546,0.0,2.6844685077667236,,,
266.66116492471764,2.191050648618064,27.391409864372907,15.398160375506166,0.0,1.0663954019546509,,,
270.8407059048534,0.4326642155935166,27.777385369098976,10.88055489293383,0.0,4.8391618728637695,,,
328.246440303994,-23.552286428276012,27.77813855644142,-49.727574588595786,0.0,1.0813380479812622,,,
324.28750328026086,-22.513255393364393,27.81259649131446,-45.93922741697119,0.0,4.550357341766357,,,
266.7671927157378,2.7115199943368182,27.92118836470307,15.54450400866287,0.0,3.0834999084472656,,,
350.20879691452325,-27.02998024640516,27.998116785324925,-69.85962129766463,0.0,7.130222797393799,,,
288.421636691013,-8.140585426291077,28.1585667116558,-8.624712439790073,0.0,1.977449893951416,,,
339.6533438672872,-24.936306218965722,29.558651086132755,-60.16784241260501,0.0,1.84827721118927,,,
326.4342608419447,-21.780223996771788,29.668919194683674,-47.63506240832231,0.0,1.248387098312378,,,
297.1337387732155,-10.527757259530315,29.80359542814715,-17.401058417188437,0.0,9.323161125183105,,,
297.54584132511513,-10.641856809205924,29.877003887525017,-17.81605373217974,0.0,6.162222385406494,,,
296.91301939542495,-9.92821246115799,30.272805420465534,-16.947545986355706,0.0,2.6881518363952637,,,
273.441656572457,2.331401524627774,30.704001378144874,9.44262615681717,0.0,7.765683174133301,,,
